event_id,user_id,session_id,event_type,product_id,search_query,device_type,timestamp
751c14b5-c6b2-4c2f-a214-cab7eac2262d,,sess_e9a7cbb8ef60444e,product_view,38,,mobile,2026-09-13T19:46:19.275208+00:00
dbce42a7-03d6-4764-9123-4382b3321310,,sess_e9a7cbb8ef60444e,product_view,178,,mobile,2026-09-13T19:45:27.275208+00:00
8c43fa34-c4be-4a28-be93-9ae05b9b2dfa,,sess_e9a7cbb8ef60444e,category_view,,,mobile,2026-09-13T19:45:11.275208+00:00
b7f320c3-4c3d-4c77-95aa-cc2dbad1decd,,sess_e9a7cbb8ef60444e,homepage_view,,,mobile,2026-09-13T19:45:05.275208+00:00
00bd2594-98fb-45ab-a50c-67c13834d28d,7967,sess_764551ca3f9b4834,checkout_abandoned,,,mobile,2026-09-13T19:44:55.938273+00:00
5f0becb3-911f-4927-b3c9-ddb8d76bd587,,sess_e9a7cbb8ef60444e,session_start,,,mobile,2026-09-13T19:44:55.275208+00:00
5944e037-d03f-4214-a550-ce7451d331e0,7967,sess_764551ca3f9b4834,checkout_started,,,mobile,2026-09-13T19:43:56.938273+00:00
6b49350a-a5d2-42c2-b7c5-b09f64996b8a,7967,sess_764551ca3f9b4834,add_to_cart,120,,mobile,2026-09-13T19:43:27.938273+00:00
145eeca9-bb16-4cc3-948e-086a1c287ac2,7967,sess_764551ca3f9b4834,product_view,120,summer top,mobile,2026-09-13T19:42:58.938273+00:00
2eba7510-d5b2-4ef7-a767-2d8ca2f4c053,7967,sess_764551ca3f9b4834,search,,summer top,mobile,2026-09-13T19:42:50.938273+00:00
3dc067ce-9ca0-4fc0-b5ca-90d32b67c454,7967,sess_764551ca3f9b4834,homepage_view,,,mobile,2026-09-13T19:42:36.938273+00:00
709637dc-8f3b-4a92-a772-4c1d335d03f3,7967,sess_764551ca3f9b4834,session_start,,,mobile,2026-09-13T19:42:28.938273+00:00
adc9cfe5-f9f3-4a2c-89d0-edc63078a5e3,9513,sess_40271449ff7947a1,product_view,158,,desktop,2026-09-13T19:41:34.014865+00:00
f196352c-8c3f-45ef-b674-ec310947268c,9513,sess_40271449ff7947a1,product_view,93,,desktop,2026-09-13T19:40:53.014865+00:00
83d187d8-5d8c-41a8-b380-e783e4d9fdda,9513,sess_40271449ff7947a1,category_view,,,desktop,2026-09-13T19:40:40.014865+00:00
851d7787-ed3b-4401-aba7-8710c68c7ecc,9513,sess_40271449ff7947a1,homepage_view,,,desktop,2026-09-13T19:40:33.014865+00:00
dd1b5922-add8-4269-bb8d-f3e77b368dce,9513,sess_40271449ff7947a1,session_start,,,desktop,2026-09-13T19:40:30.014865+00:00
af2e7c56-e308-4081-a662-82c2d9aeba11,,sess_f6fd9a2ebddb42b3,checkout_abandoned,,,mobile,2026-09-13T19:40:28.327205+00:00
b53b5ced-2649-4f37-b731-6364bf773821,9102,sess_4d4991dec2f44fe8,wishlist_add,241,,mobile,2026-09-13T19:39:56.052209+00:00
02eea58b-d503-4fdf-94bf-8f81e90a1a78,9102,sess_4d4991dec2f44fe8,product_view,241,,mobile,2026-09-13T19:39:43.052209+00:00
1c92ff73-e538-49b1-9ab1-5cdc9443b649,,sess_f6fd9a2ebddb42b3,checkout_started,,,mobile,2026-09-13T19:39:40.327205+00:00
31fa93b6-e619-44cd-8d7b-9dc30bf2e69c,9102,sess_4d4991dec2f44fe8,homepage_view,,,mobile,2026-09-13T19:39:36.052209+00:00
ae85ee5a-4f8e-479c-ab79-6dc39674bd35,9102,sess_4d4991dec2f44fe8,session_start,,,mobile,2026-09-13T19:39:31.052209+00:00
5fdce004-7fbf-4e51-b2c3-e76f16739273,6961,sess_ff4ac908d8244829,search_result_view,,summer cotton casual kurta below 1500,mobile,2026-09-13T19:39:28.944867+00:00
b7cb1dcf-4e52-4452-9695-a444e292a799,,sess_f6fd9a2ebddb42b3,add_to_cart,84,,mobile,2026-09-13T19:39:18.327205+00:00
a6174dc8-83c4-4adc-a700-066320de2629,6961,sess_ff4ac908d8244829,search,,summer cotton casual kurta below 1500,mobile,2026-09-13T19:39:16.944867+00:00
f4b9fab8-2fce-4b4e-93f4-631fce76558f,6961,sess_ff4ac908d8244829,homepage_view,,,mobile,2026-09-13T19:39:02.944867+00:00
53ff6305-3c99-40c3-b3d8-8a125cbf465e,,sess_f6fd9a2ebddb42b3,product_view,84,oversized white linen button down shirt under 2000,mobile,2026-09-13T19:38:59.327205+00:00
aabe64a8-317f-4063-bc08-5f549ab9fe87,6961,sess_ff4ac908d8244829,session_start,,,mobile,2026-09-13T19:38:55.944867+00:00
e606b8d3-9882-4535-a5d8-f7ea7beb245b,6167,sess_713f3bda3cc74226,purchase_completed,96,,mobile,2026-09-13T19:38:55.094420+00:00
c41bbd6b-f12f-4dc1-ab88-1988515823ed,,sess_f6fd9a2ebddb42b3,search,,oversized white linen button down shirt under 2000,mobile,2026-09-13T19:38:54.327205+00:00
a442c740-f6e9-4deb-911d-cee31cbe4d1e,,sess_f6fd9a2ebddb42b3,homepage_view,,,mobile,2026-09-13T19:38:39.327205+00:00
a1c4d112-962a-4422-8026-9bb972575bbf,,sess_f6fd9a2ebddb42b3,session_start,,,mobile,2026-09-13T19:38:33.327205+00:00
0fcbc346-84a9-4dc7-b675-b0fc3980378f,6167,sess_713f3bda3cc74226,checkout_started,,,mobile,2026-09-13T19:37:41.094420+00:00
1cb4171e-2389-4b88-91a2-45958b0d378f,,sess_8916b04f0a854b64,product_view,4,,desktop,2026-09-13T19:36:45.081116+00:00
362332e4-76ba-4baf-b5be-a1d6ad357ca7,,sess_80fdde6743134c63,checkout_abandoned,,,mobile,2026-09-13T19:36:38.272726+00:00
8bb4ba72-59b0-4353-ba9e-6340edeb9603,6167,sess_713f3bda3cc74226,add_to_cart,96,,mobile,2026-09-13T19:36:33.094420+00:00
78ac8ddc-8f1f-4bd5-9114-b1af6ec8d468,,sess_80fdde6743134c63,checkout_started,,,mobile,2026-09-13T19:36:05.272726+00:00
536390c0-174a-4f44-90c8-93ca456fc2d1,,sess_8916b04f0a854b64,product_view,178,,desktop,2026-09-13T19:36:01.081116+00:00
2175c383-6071-40fb-ab6d-23164484f356,,sess_8916b04f0a854b64,category_view,,,desktop,2026-09-13T19:35:52.081116+00:00
13a84325-32f8-4e5f-b15e-02c462575b99,6167,sess_713f3bda3cc74226,product_view,96,sunglasses,mobile,2026-09-13T19:35:41.094420+00:00
c6f39c29-39c9-4a11-b5aa-e431e575ef04,,sess_8916b04f0a854b64,homepage_view,,,desktop,2026-09-13T19:35:40.081116+00:00
5df2f18c-0c6f-4a38-9f49-5c13869e07e2,,sess_8916b04f0a854b64,session_start,,,desktop,2026-09-13T19:35:36.081116+00:00
ebfbf2c2-56b8-4dcb-a64d-7c1c5c9d0dd5,6167,sess_713f3bda3cc74226,search,,sunglasses,mobile,2026-09-13T19:35:33.094420+00:00
d6638ac2-d408-4dd5-8b61-35a409c31529,,sess_80fdde6743134c63,add_to_cart,5,,mobile,2026-09-13T19:35:21.272726+00:00
5e10268e-43b2-4a1a-a85a-781db5345182,6167,sess_713f3bda3cc74226,homepage_view,,,mobile,2026-09-13T19:35:19.094420+00:00
12106820-078e-4265-8fe4-736c2fa39f6a,7149,sess_3890382544b849fb,purchase_completed,36,,mobile,2026-09-13T19:35:16.351091+00:00
