event_id,user_id,session_id,event_type,product_id,search_query,device_type,timestamp,event_date,event_hour
eff77eb9b4464d5ba18c42ee9d230c70,6582.0,sess_e79590cf28574e43,session_start,,,mobile,2026-08-20 05:06:17.129477,2026-08-20,05
0c228789fc7a472e9558316d83bdabe7,6582.0,sess_e79590cf28574e43,homepage_view,,,mobile,2026-08-20 05:06:23.129477,2026-08-20,05
ffa84aab79f7401b86bae4364076dfd2,6582.0,sess_e79590cf28574e43,search,,black floral maxi dress for summer wedding under 3000,mobile,2026-08-20 05:06:42.129477,2026-08-20,05
71182abf3b1c44bf9449376207881164,6582.0,sess_e79590cf28574e43,product_view,101.0,black floral maxi dress for summer wedding under 3000,mobile,2026-08-20 05:06:54.129477,2026-08-20,05
2b7edba79f4a4d9dabd430a84a0fb859,6582.0,sess_e79590cf28574e43,add_to_cart,101.0,,mobile,2026-08-20 05:07:23.129477,2026-08-20,05
987730c106a948d98276792fd25457d1,6582.0,sess_e79590cf28574e43,checkout_started,,,mobile,2026-08-20 05:08:18.129477,2026-08-20,05
922eca43517d477ead7f65f129aacdab,6582.0,sess_e79590cf28574e43,purchase_completed,101.0,,mobile,2026-08-20 05:09:07.129477,2026-08-20,05
123233c93dbe4d0b9984820c4d27d6a8,10730.0,sess_37c8544e68264a68,session_start,,,desktop,2026-08-19 07:28:10.553167,2026-08-19,07
f8429c540f0f4755ba5fdbe9d72f6558,10730.0,sess_37c8544e68264a68,homepage_view,,,desktop,2026-08-19 07:28:14.553167,2026-08-19,07
53471b6e915a49c2b8cb6b40f1c98fc2,,sess_7dc9f07235974c49,session_start,,,mobile,2026-09-05 07:18:59.290079,2026-09-05,07
baeed82f55b14aed8fd2ad442063a742,,sess_7dc9f07235974c49,homepage_view,,,mobile,2026-09-05 07:19:02.290079,2026-09-05,07
9838cead4a6d4f34b57b6cc71ab68242,,sess_7dc9f07235974c49,category_view,,,mobile,2026-09-05 07:19:11.290079,2026-09-05,07
0848b56cf8944064a19d07215e87038f,,sess_7dc9f07235974c49,product_view,14.0,,mobile,2026-09-05 07:19:32.290079,2026-09-05,07
e809e0450ced422db860edba0c5119f1,9618.0,sess_586dfd21e63b4e0b,session_start,,,tablet,2026-08-27 06:45:12.530170,2026-08-27,06
1bca5c845a5c41b5a23e21b7e45c3d01,9618.0,sess_586dfd21e63b4e0b,homepage_view,,,tablet,2026-08-27 06:45:15.530170,2026-08-27,06
b4ac525f54424d52b94838d644c8c710,9618.0,sess_586dfd21e63b4e0b,category_view,,,tablet,2026-08-27 06:45:31.530170,2026-08-27,06
c1c425ae27de4224b3462db3930e4761,9618.0,sess_586dfd21e63b4e0b,product_view,242.0,,tablet,2026-08-27 06:45:51.530170,2026-08-27,06
382471b1776e470b894149ca66301cec,10892.0,sess_ed723737e4304b5c,session_start,,,desktop,2026-08-28 16:52:35.586797,2026-08-28,16
8b77a579e7ce4c2e89ce3bbb7c6e4c3e,10892.0,sess_ed723737e4304b5c,homepage_view,,,desktop,2026-08-28 16:52:44.586797,2026-08-28,16
68526a93f2d748c38f000571a4aa562e,10892.0,sess_ed723737e4304b5c,category_view,,,desktop,2026-08-28 16:53:01.586797,2026-08-28,16
56f8baac0e5b4c32a2b5219338f38405,10892.0,sess_ed723737e4304b5c,product_view,70.0,,desktop,2026-08-28 16:53:15.586797,2026-08-28,16
e591e21d1f2a4616bf08b534628dfa3a,10892.0,sess_ed723737e4304b5c,product_view,125.0,,desktop,2026-08-28 16:53:41.586797,2026-08-28,16
c4b7faf8e2ea4d08b75aeeb12cfca7dd,10892.0,sess_ed723737e4304b5c,product_view,33.0,,desktop,2026-08-28 16:54:23.586797,2026-08-28,16
52f2c0312ae9469c8728c42b790f71d9,9725.0,sess_793dadbb959642a4,session_start,,,mobile,2026-08-25 17:34:41.008106,2026-08-25,17
2e585ba7656f42729376739a57a5907c,9725.0,sess_793dadbb959642a4,homepage_view,,,mobile,2026-08-25 17:34:50.008106,2026-08-25,17
b25c709d69864f65be0b7ef0557a81c6,9725.0,sess_793dadbb959642a4,search,,perfume,mobile,2026-08-25 17:35:07.008106,2026-08-25,17
